Modèle,Accuracy,Precision,Recall,F1-Score,AUC (macro)
Random Forest,0.9915,0.9914824856700937,0.9915,0.9914448535189134,0.9998515693844715
SVM,0.991,0.9909789988112534,0.991,0.9909872572036312,0.9998808033897381
MLP,0.9865,0.9864820366083746,0.9865,0.9864904675045191,0.9997375905029677
